Country,Website,Language(s)
Bahrain,mcdonalds.com/bh,Arabic/English
China,mcdonalds.com.cn,Mandarin
Hong Kong,mcdonalds.com.hk,Cantonese/English
India,mcdonaldsindia.com,English
Indonesia,mcdonalds.co.id,Indonesian
Israel,mcdonalds.co.il,Hebrew/Arabic
Japan,mcdonalds.co.jp,Japanese/English
Jordan,mcdonalds.com.jo,Arabic/English
Kuwait,mcdonalds.com/kw,Arabic/English
Lebanon,mcdonalds.com.lb,Arabic/English
Malaysia,mcdonalds.com.my,Malay (news and halal info page)/English (all)
Oman,mcdonalds.com/om,Arabic/English
Pakistan,mcdonalds.com.pk,English
Philippines,mcdonalds.com.ph,English
Qatar,mcdonalds.com/qa,Arabic/English
Saudi Arabia (Jeddah),mcdonalds.com/sa/ar-sa/jeddah.html and mcdonalds.com/sa/en-sa/jeddah.html,Arabic/English
Saudi Arabia (Riyadh),mcdonalds.com/sa/ar-sa/riyadh.html and mcdonalds.com/sa/en-sa/riyadh.html,Arabic/English
Singapore,mcdonalds.com.sg,English
South Korea,mcdonalds.co.kr,Korean/English
Sri Lanka,mcdelivery.lk,English
Taiwan,mcdonalds.com/tw,Mandarin
United Arab Emirates,mcdonalds.com/ae,Arabic/English
Vietnam,mcdonalds.vn,Vietnamese/English
